Show Number, Air Date, Round, Category, Value, Question, Answer,contestant_names,contestant_locations
4977,2006-04-11,Final Jeopardy!,THE EARLY 1900s,None,These 2 nations fought a war on neither nation's soil; the decisive battle came at present-day Shen-Yang,Russia & Japan,"Dan Lee, Kathy Lisiewicz, William Lee","Nevada, California, California"
3744,2000-12-07,Final Jeopardy!,POLITICIANS,None,In 1928 this oilman served as chairman of the Republican State Central Committee of Kansas,Alf Landon,"Steve Edwards, Christine Detz, Kurt Fried","California, Massachusetts, Kansas"
4276,2003-03-17,Final Jeopardy!,SCIENCE,None,"As it has no mass, this particle travels at about 186,000 miles per second",photon,"Rob Eingurt, Courtney Hanlon, Amanda Potocky","Washington D.C., California, North Carolina"
3174,1998-05-21,Final Jeopardy!,AROUND THE WORLD,None,"Besides Great Britain, the 2 European countries through which the Greenwich Meridian passes",France & Spain,"Bob Cameron, Kathy Lester, Louis Cohen","Ohio, Virginia, Connecticut"
1874,1992-10-29,Final Jeopardy!,U.S. PRESIDENTS,None,The first two presidents not born in Virginia were born in what is now this state,Massachusetts,"Luke Perry, Judith Ivey, Beau Bridges","an actor from , an actress from , an actor from "
5053,2006-07-26,Final Jeopardy!,AFRICAN CAPITALS,None,"To get the name of its country, add 2 letters to the end of this world capital city",Tunis,"Theresa Kenny, Matthew Mitchell, Celeste DiNucci","New York, Washington, Pennsylvania"
5866,2010-03-01,Final Jeopardy!,NOTORIOUS,None,"Often described as a redhead, this accused killer called her hair light brown on her 1890 passport application",Lizzie Borden,"Amy Tyszkiewicz, Anne Damon, Ben Auer","New Jersey, Massachusetts, Georgia"
4341,2003-06-16,Final Jeopardy!,BUSINESS BIGGIES,None,"Founded in 1898 when several cracker companies merged, in 2000 it passed from one tobacco company to another",Nabisco (it went from R.J. Reynolds to Philip Morris),"Becky Hudson, Tom Lucero, John Beck","South Dakota, California, California"
3474,1999-10-14,Final Jeopardy!,MAGAZINES,None,"The title of this women's magazine that turned 60 in 1999 used to end with ""Of Hollywood""",Glamour,"David Waters, Jennifer O'Brien, Robin Jacobsen","Oregon, Illinois, New York"
2844,1997-01-02,Final Jeopardy!,WORD ORIGINS,None,"This word is from the Old English for ""The farmer who lives near you""",Neighbor,"Kurt Bodden, Nancy Senter, Claudia Perry","California, California, California"
6289,2012-01-12,Final Jeopardy!,WOMEN AUTHORS,None,1 of the 2 American women authors nominated for the Nobel Prize for Literature in 1938,Pearl S. Buck (or) Margaret Mitchell,"Stephanie Walker, Brandon Libby, Dan McShane","Ohio, New Jersey, New York"
5118,2006-12-06,Final Jeopardy!,FAMOUS NEW YORKERS,None,"In 1905 he said, ""It is my duty to make money and still more money and to use the money... for the good of my fellow man""",John D. Rockefeller,"Sean Gilsdorf, Christian Haines, Linda Flink","Massachusetts, Virginia, Arizona"
3187,1998-06-09,Final Jeopardy!,BASKETBALL,None,2 of the 3 NBA teams whose names don't end with the letter S,"Miami Heat, Orlando Magic &/or Utah Jazz","Philip Sasse, Susan Thaler, Joe Mecca","Georgia, New York, New York"
5473,2008-05-28,Final Jeopardy!,20th CENTURY LEADERS,None,"He said, ""An appeaser is one who feeds a crocodile, hoping it will eat him last""",Winston Churchill,"Nan Reiner, Pat Roche, Larissa Kelly","Virginia, New York, California"
4247,2003-02-04,Final Jeopardy!,INTERNATIONAL GEOGRAPHIC,None,"By size, it's the largest country that borders only one other country",Canada (borders only the United States),"John Zhang, Brittany McCants, Susan Bellenot","Kentucky, South Carolina, California"
5112,2006-11-28,Final Jeopardy!,ASIA,None,"Along with Communist China and North Korea, one of the 2 formerly Communist nations bordering Asian Russia",(1 of) Kazakhstan & Mongolia,"Ehren Schwiebert, Suzanne Ennis, Ryan Friedman","Arizona, Maine, New Hampshire"
3244,1998-10-15,Final Jeopardy!,BRITISH AUTHORS,None,"Among the poems this British novelist wrote in the 1920s were ""Men In New Mexico"" & ""Autumn At Taos""",DH Lawrence,"Elizabeth Bellas, Walter Hanig, Diane Green","Washington, California, Washington"
5672,2009-04-14,Final Jeopardy!,COLLEGES & UNIVERSITIES,None,This 2-word term for a famous group of colleges 1st appeared in an AP story that ran in the Providence Journal in 1935,Ivy League,"Regan Hofmann, Marc Sacks, Michael O'Malley","New York, Washington D.C., Illinois"
3097,1998-02-03,Final Jeopardy!,ASIAN NATIONS,None,"In population, it's the largest country that's not a member of the United Nations",Taiwan (Republic of China),"Josh Den Hartog, Claudia Perry, Paul Gutowski","Iowa, New Jersey, Illinois"
2997,1997-09-16,Final Jeopardy!,NEW ENGLAND COLONISTS,None,"Thomas Morton of Merry Mount was arrested in 1628 by this neighbor & pilgrim he called ""Captaine Shrimp""",Miles Standish,"John Carroll, Lisa Doak, Pam Mifflin","Tennessee, Illinois, Wisconsin"
5313,2007-10-17,Final Jeopardy!,THE EARTH,None,"As Earth wobbles slowly on its axis, this moves in a ""Chandler Circle"" with a diameter of about 1 to 70 feet",the North Pole,"Shad Small, Linda Zell Randall, Chris Jason","California, Florida, Florida"
3192,1998-06-16,Final Jeopardy!,LATIN PHRASES,None,"It can refer to the host used in the Eucharist, or a city southwest of Houston","Corpus Christi, Texas","Dave Abbott, Chris Carson, Natalie Segal","Ohio, Washington, Connecticut"
5917,2010-05-11,Final Jeopardy!,WORDS IN THE BIBLE,None,In Genesis 2:24 these 2 words are what a man shall do to his parents & then to his wife; add a letter to 1 to get the other,leave & cleave,"Nick Yozamp, Stephen Weingarten, Terry Linwood","Minnesota, Oregon, a bookseller from North Texas"
4868,2005-11-09,Final Jeopardy!,STATE CAPITALS,None,"5 state capitals, all of them on or west of the Mississippi, begin with these 2 letters",S-A,"Amanda Walker, Ben Goldman, Peter Ellis","Washington, Pennsylvania, North Carolina"
3977,2001-12-11,Final Jeopardy!,ENTERTAINERS,None,"Interviewed on ""60 Minutes"" in 2001, he said, ""It's been one of my lifelong jobs...to make the world laugh at Adolf Hitler""",Mel Brooks,"Mike Rohan, M J Selle, Bill O'Donnell","Illinois, Texas, Missouri"
4350,2003-06-27,Final Jeopardy!,SONG TITLES,None,The inspiration for this 1964 hit posed alone for the Brazil edition of Playboy in 1987 & with her daughter in 2003,"\""The Girl from Ipanema\""","Rollin Jewett, Bob Demaree, Seth Alcorn","Florida, Wisconsin, California"
4841,2005-10-03,Final Jeopardy!,PRESIDENTIAL RELATIVES,None,He defended civil rights as a representative from Massachusetts' 11th District from 1895 to 1901,John Francis Fitzgerald,"Jason Richards, Zeb Schobernd, Elizabeth Randisi","Maine, Oregon, New York"
5566,2008-11-17,Final Jeopardy!,19th CENTURY POLITICS,None,"When the GOP convened in 1888, he became the 1st black man to earn a vote for president at a major party convention",Frederick Douglass,"Audrey Hosford, Ben Chuchla, Brandon Saunders","Maryland, California, New York"
4694,2005-01-20,Final Jeopardy!,BESTSELLING NOVELS,None,"Today, many who visit Santa Maria delle Grazie Church admit doing so because of this 2003 No. 1 bestseller",The Da Vinci Code,"Jen Noon, Jonathan Smillie, Steve Kaplan","Massachusetts, Indiana, California"
3182,1998-06-02,Final Jeopardy!,COMPOSERS,None,"When ""Fantasia"" was released in 1940, he was the only one of its composers still alive to hear his music",Igor Stravinsky,"Pat Watson, Jack Rowley, Adele Odegard","Missouri, Georgia, Virginia"
1884,1992-11-12,Final Jeopardy!,POLAND,None,"Laid to rest temporarily at Arlington in 1941, his remains were returned to Poland in 1992",Jan Paderewski,"Robert Slaven, Richard Kaplan, John Kelly","Canada, California, Texas"
3472,1999-10-12,Final Jeopardy!,MODERN SCIENCE,None,"On January 12, 1998 19 European nations endorsed the first international ban of this practice on humans",Cloning,"Mike Garrido, Robin Jacobsen, Becky Bowles","Massachusetts, New York, Kentucky"
5520,2008-09-12,Final Jeopardy!,ROYALTY,None,"It's the name of today's longest-ruling family in Europe, in power for most of the last 711 years",Grimaldi,"Cindy Schilling, Tom Witek, Daphne Matalene","Maine, Illinois, New York"
5040,2006-07-07,Final Jeopardy!,STATE FLAGS,None,"Its state flag, based on a design from 1776, shows Virtue, dressed like an Amazon, triumphing over Tyranny",Virginia,"Erin Weiss, Brett McGlasson, Rich Small","California, Nevada, Washington"
5741,2009-07-20,Final Jeopardy!,POETS ON POETS,None,"Longfellow began a poem about this earlier poet, ""Tuscan, that wanderest through the realms of gloom""",Dante Alighieri,"Ellyn Feerick, Stefan Goodreau, Peter Wiscombe","Idaho, California, North Carolina"
5731,2009-07-06,Final Jeopardy!,NAPOLEON,None,Napoleon died before some of his officers could sneak him to this U.S. state where his death mask now resides,Louisiana,"Joe Webb, Jessica Harry, Chris Hernandez","Missouri, Wisconsin, New Jersey"
1905,1992-12-11,Final Jeopardy!,TRANSPORTATION,None,"Last names of the motor car maker & mortor car dealer who merged in Manchester, England in 1906",Rolls & Royce,"George Holloway, Sheryl Stein, Linda Kissling","Pennsylvania, Virginia, New Jersey"
3627,2000-05-16,Final Jeopardy!,WORLD LEADERS,None,"Early in the 20th century, he took one of many pseudonyms, Nguyen Ai Quoc, or ""Nguyen the Patriot""",Ho Chi Minh,"Eddie Timanus, Jeremy Bate, Chacko George","Virginia, California, Louisiana"
4916,2006-01-16,Final Jeopardy!,ANCIENT OBJECTS,None,In I Kings 8 there was nothing inside it except 2 tablets put there by Moses,the Ark of the Covenant,"Chris Casper, Merle Capello, Kevin Marshall","Florida, New York, Louisiana"
5588,2008-12-17,Final Jeopardy!,NOVEL INSPIRATIONS,None,"The house in Canada <a href=""http://www.j-archive.com/media/2008-12-17_FJ.jpg"" target=""_blank"">seen here</a> inspired this beloved novel that's celebrating its 100th anniversary in 2008",Anne of Green Gables,"Nicole Welch, Stevie Benson, George Yates","Washington D.C., California, California"
2847,1997-01-07,Final Jeopardy!,WORLD LEADERS,None,His brother Jonathan lost his life in 1976 leading the raid on Entebbe,Benjamin Netanyahu (prime minister of Israel),"David Charlton, Jr., Steve Dhuey, Claudia Perry","Florida, Wisconsin, California"
3801,2001-02-26,Final Jeopardy!,HISTORIC NAMES,None,"This ""Dragon"" was first famous for resisting Ottoman domination of Romania","Vlad the Impaler (\""Count Dracula\"")","Jeff Bowersox, Christy Woodman, Sid Moore Jr.","Kentucky, Massachusetts, Oregon"
6024,2010-11-18,Final Jeopardy!,EUROPEAN COUNTRIES,None,"German is its official national language; Croatian, Slovene & Hungarian are each official in one of its states",Austria,"Sam Spaulding, Hans von Walter, Erin McLean","North Carolina, Florida, Massachusetts"
4459,2004-01-15,Final Jeopardy!,POLITICAL CAMPAIGNS,None,This man's successful 2001 campaign was the most expensive non-presidential campaign in history,Michael Bloomberg,"Frank Amanat, Liz Slaby, Steve Hall","New Jersey, Pennsylvania, Connecticut"
4915,2006-01-13,Final Jeopardy!,LITERARY HISTORY,None,"Mary Roberts Rinehart's 1930 mystery novel ""The Door"" turned blaming this character into a cliche",the butler,"Michelle Hickman, David Grant, Kevin Marshall","Washington, New York, Louisiana"
5603,2009-01-07,Final Jeopardy!,INDEPENDENCE DAYS,None,Poland's Independence Day commemorates this month & day in 1918,November 11,"Rick Meneskie, Ranjan Ramchandani, Victoria Harkavy","Pennsylvania, Texas, Maryland"
2845,1997-01-03,Final Jeopardy!,THE WESTERN U.S.,None,This state capital rose from the ruins of a Hohokam Indian settlement,"Phoenix, Arizona","Aimee Serafini, Damon Raskin, Claudia Perry","Ohio, California, California"
3646,2000-06-12,Final Jeopardy!,MAGAZINES,None,In 1925 it was founded by an ex-editor of Stars and Stripes; in the '90s it was run by an ex-editor of Vanity Fair,The New Yorker,"Ted Miller, Camille Brovold, Jason Parker","Ohio, Minnesota, Florida"
5745,2009-07-24,Final Jeopardy!,25 YEARS & COUNTING,None,"In 2009 she was on a world tour at age 69; when ""Jeopardy!"" premiered in September 1984, she had the USA's No. 1 hit",Tina Turner,"Emily Bruemmer, John Munson, Stefan Goodreau","Massachusetts, Florida, California"
5445,2008-04-18,Final Jeopardy!,THE OSCARS,None,They're the only 2 trilogies in which all 3 of the films were nominated for Best Picture Oscars,The Godfather & The Lord of the Rings,"Carrie Wright, Gabriel Schechter, Chris Zane","South Carolina, New York, Maryland"
5805,2009-12-04,Final Jeopardy!,THE 13th CENTURY,None,"In 1298 this explorer created his ""Description of the World""",Marco Polo,"Sheryl Silverstein, Chris D'Orso, Dave Belote","California, New York, Las Vegas"
5259,2007-06-21,Final Jeopardy!,STATE POPULATIONS,None,"Between July 2005 & July 2006, this state gained nearly 500,000 people, more than any other state",Texas,"Mary Ann Hilterhaus, Don Stewart, Jesse Berry","New Jersey, Massachusetts, Arkansas"
5529,2008-09-25,Final Jeopardy!,ISLAND CHAINS,None,"Before an 1867 sale, this island group was known as the Catherine Archipelago",the Aleutian Islands,"Pam Winters, Mark Raabe, Brian Levinson","Maryland, Minnesota, New York"
3416,1999-06-14,Final Jeopardy!,COMPOSERS,None,"""Reaching for the Note"" was the subtitle of a 1998 film about this American music legend who died in 1990",Leonard Bernstein,"Sarah Gold, Chuck Lee, Ryan Thiel","New York, Colorado, Minnesota"
3346,1999-03-08,Final Jeopardy!,SHOW BIZ,None,In 1997 this singer & her husband opened a restaurant at Disney World called Bongo's Cuban Cafe,Gloria Estefan,"Dave Hampton, Laura Bowen, Nathan Childs","Massachusetts, North Carolina, Washington D.C."
5224,2007-05-03,Final Jeopardy!,PRESIDENTIAL SUCCESSION,None,It's the name of the person next in the line of presidential succession after Robert Byrd,Condoleezza Rice,"Kaitlin Welborn, Will Schultz, Sarah Nothnagel","a sophomore from the University of Pennsylvania, Chapel Hill, a sophomore from the University of Southern California"
3280,1998-12-04,Final Jeopardy!,AWARDS,None,In 1927 Cedric Gibbons designed this award that he went on to win 11 times,The Academy Award (Oscar),"Brendan McTaggart, Diane Wakefield, Andrew Maly","California, Pennsylvania, Maryland"
3119,1998-03-05,Final Jeopardy!,AUTOBIOGRAPHIES,None,"His books include ""Skyward"" (1928), ""Little America"" (1930) & ""Alone"" (1938)",Admiral Richard E. Byrd,"Andria Frost, Robert Campbell, Ben Wiener","Colorado, California, Canada"
4560,2004-06-04,Final Jeopardy!,RECORD HOLDERS,None,"Phoebe Snetsinger, she of the apropos first name, set a record for this activity, about 8,400 species",birdwatching,"Dane Petersen, Neil Thom, Ken Jennings","Virginia, Georgia, Utah"
5386,2008-01-28,Final Jeopardy!,TV CELEBRITIES,None,"Not an actor, he is the highest-paid foreign-born personality on the 2007 Forbes list of top television earners",Simon Cowell,"Steven Melendez, Melissa Prusi, Ethan Brosowsky","Massachusetts, Michigan, California"
3281,1998-12-07,Final Jeopardy!,1998,None,"Opened on July 1, the museum devoted to her lies near a classical temple dedicated to her memory",Princess Diana,"Mike Adams, Chris Seybolt, Giselle Foss","Louisiana, South Carolina, Washington D.C."
3210,1998-07-10,Final Jeopardy!,1980s BESTSELLERS,None,A defection attempt by crew members of the Soviet frigate Storozhevoy inspired this 1984 bestseller,"\""The Hunt for Red October\""","Roxanne Crocco, Mark Fields, Lore Guilmartin","Ohio, New Jersey, Texas"
4683,2005-01-05,Final Jeopardy!,1920s NOSTALGIA,None,"A poor couple window-shopping a diamond bracelet at this store inspired the song ""I Can't Give You Anything But Love""",Tiffany's,"Val Nieman, Harry Hall, Kerry Breitenbach","North Carolina, Ohio, Ohio"
5570,2008-11-21,Final Jeopardy!,GREEK MYTHOLOGY,None,King Salmoneus dragged bronze kettles behind his chariot to imitate this; Zeus killed him,thunder,"Audrey Hosford, Bradley Silverman, Anurag Kashyap","Maryland, Georgia, California"
3190,1998-06-12,Final Jeopardy!,ORGANIZATIONS,None,This women's organization founded in 1890 was chartered by Congress in 1896,the Daughters of the American Revolution,"Marion Arkin, Robert Levy, Steve Sosnick","New York, Virginia, New York"
3910,2001-09-07,Final Jeopardy!,ZOOLOGY,None,"Animal species that's the subject of the longest consecutive study of any group of wild animals, 40 years",chimpanzees,"Evelyn Pan Bavier, Derek Ziegler, Ramsey Campbell","Massachusetts, Pennsylvania, California"
3951,2001-11-05,Final Jeopardy!,ROYALTY,None,"The king of this Asian country is known as the ""Possessor of the 24 Golden Umbrellas""",Thailand,"Trevor Norris, Mary-Beth Prokop, Ulhas Rajurkar","Washington D.C., Maryland, Virginia"
4569,2004-06-17,Final Jeopardy!,COMMUNICATIONS,None,"In the NATO phonetic alphabet (Alpha, Bravo, etc.), the 2 that are title Shakespearean characters",Romeo & Juliet,"Deirdre Basile, Steve DiGiulio, Ken Jennings","Connecticut, New Jersey, Utah"
3880,2001-06-15,Final Jeopardy!,NAMES IN THE NEWS,None,"On December 16, 2000, the day after his graduation, LSU retired his No. 33 jersey",Shaquille O' Neal,"Kara Miller, Sam Meyer, Liam Healy","Massachusetts, Georgia, Massachusetts"
1309,1990-04-19,Final Jeopardy!,BUSINESS & INDUSTRY,None,This company was incorporated in 1946 as Tokyo Telecommunications Engineering Corporation,Sony,"Beverly Davenport, Pete Brown, Liz Barnea","Pennsylvania, Alabama, Montana"
4734,2005-03-17,Final Jeopardy!,WORDS,None,This 6-letter word can mean both a bright light above someone's head & a dark cloud above our heads,nimbus,"Brian Moore, Dan Katz, John Zhang","Texas, Maryland, Kentucky"
5786,2009-11-09,Final Jeopardy!,THE OLD TESTAMENT,None,"This man was given the armor, helmet & sword of the first king of Israel, but refused to use them",David,"Hema Karunakaram, Aidan Mehigan, Zach Blumenfeld","Michigan, Virginia, Illinois"
4205,2002-12-06,Final Jeopardy!,20th CENTURY CLASSICAL MUSIC,None,"This work written in 1931 consists of 5 movements including ""On the Trail"" & ""Painted Desert""","\""Grand Canyon Suite\"" (by Ferde Grofe)","Andrew Woolsey, Ayesha Black, Todd Hellman","California, California, Florida"
4172,2002-10-22,Final Jeopardy!,WOMEN AUTHORS,None,"A line in her first novel reads, ""I am to replace my mother, whose seat at the mah jong table has been empty""",Amy Tan (The Joy Luck Club),"Gary Sullivan, Gayle Gonzalez, Ben Whitlock","Maryland, Tennessee, Virginia"
3248,1998-10-21,Final Jeopardy!,PRESIDENTS,None,One of the two Whig Party presidents who did not die in office,Millard Fillmore or John Tyler,"Ellen Yancey, Eric Mercaldo, Greg Sanders","Texas, New Jersey, Illinois"
5020,2006-06-09,Final Jeopardy!,ROYALTY,None,"His trial began on January 20, 1649",Charles I (of England),"Craig Westphal, Thomas Talbot, Roberta Ellington","Arizona, New York, California"
3817,2001-03-20,Final Jeopardy!,THEATRE HISTORY,None,"This playwright died in 406 B.C., so he never saw his famous tragedy at Colonus produced",Sophocles,"Rob Core, Kathryn Wildt, Dennis Scott","Ohio, Washington D.C., Maryland"
5147,2007-01-16,Final Jeopardy!,THE U.S. GOVERNMENT,None,"It's the only Cabinet department whose official website does not use the "".gov"" suffix",the Department of Defense,"Greg Williams, Paula Ashley, Brian Armbrust","Pennsylvania, Ohio, California"
6234,2011-10-27,Final Jeopardy!,MOVIES,None,The villain's visage in this movie series was partly chosen due to its likeness to an 1893 work by a Norwegian artist,Scream,"Alex Johnson, Sunny Stalter, Gabor Vari","Massachusetts, Alabama, California"
2866,1997-02-03,Final Jeopardy!,DEMOCRATS,None,Bill Clinton is the first Democrat since this man to be elected president twice,Franklin Delano Roosevelt,"Alex Rubalcava, Tanis O'Connor, Josh Den Hartog","California, Florida, Iowa"
4889,2005-12-08,Final Jeopardy!,POLITICAL LINGO,None,"Senate Rule 22 governs this; Clinton called it ""posturing to prove... a minority can paralyze the federal government""",filibusters,"LeeAundra Temescu, Michael Salerno, James Quintong","Michigan, New York, Georgia"
3199,1998-06-25,Final Jeopardy!,AMERICAN AUTHORS,None,"This author born in 1904 grew up near Mulberry Street in Springfield, Massachusetts",Dr. Seuss (Theodor Geisel),"Kathleen Hale, John Bunnell, Dan Kennedy","Ohio, Tennessee, New York"
4248,2003-02-05,Final Jeopardy!,NATURE,None,The propagation of oak trees depends on the lousy memories of these animals,squirrels,"Joel Knight, Tara Karr, Russell Berris","Michigan, Idaho, Louisiana"
1266,1990-02-19,Final Jeopardy!,ANCIENT HISTORY,None,"Crassus, Julius Caesar & this man formed the 1st Triumvirate",Pompey,"Susan Davis, Dennis Shirilla, Terry Swart","Pennsylvania, Texas, California"
5263,2007-06-27,Final Jeopardy!,LITERATURE,None,"Maris, Lycon, Laogonus, Erymas, Sarpedon, Erylaus & Patroclus die in Book 16 of this work",the Iliad,"Joe Sosnoff, Judson Knight, Cathy Lanctot","Massachusetts, Georgia, Delaware"
3721,2000-11-06,Final Jeopardy!,WASHINGTON PEOPLE,None,"This man in office since 1987 has a plaque in his office that reads, ""The Buck Starts Here""",Alan Greenspan,"Nicole Stouder, Cathleen Warren, Bob Ryan","New York, Vermont, Washington"
5258,2007-06-20,Final Jeopardy!,LITERATURE,None,"In 1852 his story ""The Dandy Frightening the Squatter"" appeared in The Carpet-Bag, a humorous paper",Mark Twain,"Bonnie Humphrey, Dave Dye, Jesse Berry","New York, California, Arkansas"
6057,2011-01-04,Final Jeopardy!,THE HALL OF PRESIDENTS,None,"Of the 9 presidents whose images have a beard or mustache, this late 19th century man is the only Democrat",Grover Cleveland,"Steve Gratz, Alex Marchyshyn, Genaro Lopez","Washington D.C., North Carolina, Oregon"
6169,2011-06-09,Final Jeopardy!,THE PRESIDENCY,None,"From 1792 to 1886 this person, not the Speaker of the House, followed the vice president in the line of succession",the President pro tem (of the Senate),"Makeen Huda, Mary Anna Martell, Tim Kuehn","Louisiana, Connecticut, California"
5068,2006-09-27,Final Jeopardy!,FAMOUS PAINTERS,None,"He said, “You could find me anytime at Fournaise’s”, a restaurant right on the Seine",Pierre-Auguste Renoir,"Ken Davis, Lauren High, Eric Barela","New Jersey, Pennsylvania, California"
4488,2004-02-25,Final Jeopardy!,ASTRONOMY,None,"The name of Mintaka, a star in this constellation, is from the Arabic for 'belt""",Orion,"Damon DiPietro, Janice Dooner Lynch, Arthur Gandolfi","Georgia, New York, New York"
4672,2004-12-21,Final Jeopardy!,DANTE'S INFERNO,None,"At the center of Hell, Satan is devouring Brutus, Cassius & this biblical figure",Judas,"Emily Lawrence, Dale Masel, Lyle Brenner","Pennsylvania, Ohio, Florida"
3307,1999-01-12,Final Jeopardy!,U.S. GOVERNMENT,None,"In its history this government body has had a total of 108 members, 106 of them men",The Supreme Court,"Darren Davis, Laura Rhodes, Jeremy King","Washington, Illinois, South Carolina"
5714,2009-06-11,Final Jeopardy!,HISTORIC AMERICANS,None,"A 2007 book about these 2 men is subtitled ""Victorious American and Vanquished Virginian""",Ulysses S. Grant & Robert E. Lee,"Beth Ford, Kyle Abello, Jason Pratt","Massachusetts, California, Virginia"
5541,2008-10-13,Final Jeopardy!,HISTORICAL SHAKESPEARE,None,"In ""Henry VI, Part I"" this woman is described as ""a holy prophetess new risen up""",Joan of Arc,"Mary Tuohy, Todd Covert, Luciano D'Orazio","Connecticut, California, New York"
3126,1998-03-16,Final Jeopardy!,MODERN ARTISTS,None,"Artist who said, ""On the floor I am more at ease, I feel nearer, more a part of the painting""",Jackson Pollock,"Suzanne Parker, Christopher Ruth, Merle Milder","Kentucky, Connecticut, New Jersey"
5496,2008-06-30,Final Jeopardy!,PLAYWRIGHTS,None,"On his death in 1950, he left part of his estate to promote a new phonetic alphabet",George Bernard Shaw,"John Goodreau, T.J. Gillespie, Jean Whitcomb","California, Pennsylvania, Michigan"
4615,2004-10-01,Final Jeopardy!,AMERICANISMS,None,Around 1900 Monroe Rosenfeld remarked that the music heard along NYC's 28th Street sounded like this,tin pans,"Russ Schumacher, Tom Walsh, Arthur Gandolfi","Colorado, Washington D.C., New York"
5726,2009-06-29,Final Jeopardy!,THE BEATLES,None,"Fittingly, the cover of this Beatles album shows the Fab Four engaging in a semaphore message",Help!,"Kelani Chan, David Starr, Tui Sutherland","Washington D.C., British Columbia, Massachusetts"
3484,1999-10-28,Final Jeopardy!,WORLD CAPITALS,None,"This capital's name is from the Greek for ""Three Towns""","Tripoli, Libya","Jon Muir, Patti Sturr, Janet Leach","Pennsylvania, Arizona, New Hampshire"
6276,2011-12-26,Final Jeopardy!,JOLLY OLD ENGLAND,None,"Queen Anne liked the Marquess of Normanby, gave him permission to build a huge home in London & made him Duke of this",Buckingham,"Jack McClintock, Andrea Bornschlegel, Jason Keller","Vermont, California, New Jersey"
5209,2007-04-12,Final Jeopardy!,GOVERNORS,None,"Of the 17 state governors who became president, the most from any state, 4, were from this one",New York,"Chris Dellicarpini, Jen Benedict, Karen Anderson","New York, Virginia, California"
3642,2000-06-06,Final Jeopardy!,NEW CLASSICAL MUSIC,None,"In 1999 in Norfolk, the Virginia Symphony premiered Steve Heitzeg's ""Aqua"", an homage to this man",Jacques Cousteau,"Gene Newmier, Rahul Ranadive, Robin Zorthian","Maryland, Florida, Connecticut"
3601,2000-04-10,Final Jeopardy!,'90s NOTABLES,None,In 1999 a stretch of I-70 that runs past Busch Stadium was renamed in his honor,Mark McGwire,"Keith Myers, Robin Osborn, Mike Blumenfeld","Georgia, Georgia, Minnesota"
4516,2004-04-05,Final Jeopardy!,ROCK GROUPS,None,"This rock group took its name from a Johnny Cash album, whose title came from a Winston Churchill speech","Blood, Sweat and Tears","Bruce Williams, Jenny Taylor, Chris Miller","California, New Jersey, Kentucky"
2875,1997-02-14,Final Jeopardy!,HISTORIC AMERICANS,None,"He was the fourth Secretary of State, & the fourth Chief Justice",John Marshall,"Akiva Fox, Josh Den Hartog, Justin Powell","Massachusetts, Iowa, South Carolina"
4997,2006-05-09,Final Jeopardy!,COMPOSING CONTEMPORARIES,None,"One of 2 hyphenated composers who flourished in the 1870s, one with ""The Maid of Pskov"" & one with ""Samson et Dalila""",(1 of) Camille Saint-Saens & (Nicolai) Rimsky-Korsakov,"Aaron Thompson, David Rozenson, Kevin Marshall","Washington D.C., Massachusetts, Louisiana"
4492,2004-03-02,Final Jeopardy!,U.S. CURRENCY,None,"It's the only building to appear on 2 current U.S. bills; one is an interior view, the other an exterior view",Independence Hall,"Marisa Goldstein, John Davies, Patrick Macaraeg","Virginia, Delaware, Florida"
962,1988-11-08,Final Jeopardy!,PRESIDENTIAL ELECTIONS,None,He was the only incumbent vice president to defeat a president in a presidential election,Thomas Jefferson (1800),"Stephen Lebowitz, Barbara-Anne Eddy, Roy Holliday","California, British Columbia, New York"
5703,2009-05-27,Final Jeopardy!,BIG COUNTRIES,None,"Forbes magazine uses ""BRIC"", an acronym for these 4 large nations advancing in economic power","Brazil, Russia, India & China","Stephen Stiegel, Allison Lesh, Justin Bernbach","North Carolina, Oregon, New York"
2352,1994-11-22,Final Jeopardy!,HISTORIC NAMES,None,"Though he spent most of his life in Europe, he was governor of the Bahamas for most of World War II",Edward VIII/Duke of Windsor,"Kurt Bray, Rachael Schwartz, Brian Moore","California, New Jersey, Texas"
4656,2004-11-29,Final Jeopardy!,BABY NAMES,None,"Of the Social Security Administration's top 10 boys' names in 2000, the 2, ending in the same letter, on a list of the 12 Apostles",Matthew & Andrew,"Kathi Fry, Rob Kimbro, Ken Jennings","Arizona, New Jersey, Utah"
3848,2001-05-02,Final Jeopardy!,COLLEGES,None,"Of 60 battles fought in the U.S. Civil War, 55 were commanded on both sides by graduates of this school",United States Military Academy (West Point),"Jonathan Reinstein, Katherine Bushey, Logan Bell","New York, Delaware, Illinois"
3194,1998-06-18,Final Jeopardy!,U.S. STATESMEN,None,"In 1814 & 1815, before he was president, he served simultaneously as Sec. of State & Sec. of War",James Monroe (under President Madison),"Tom Wrosch, Ginny Morey, Dave Abbott","Oregon, Alaska, Ohio"
5706,2009-06-01,Final Jeopardy!,CARTOON SCIENCE,None,"According to Chuck Jones, whenever possible, this force of nature was to be Wile E. Coyote's greatest enemy",gravity,"Sara Doran, Steven Engelfried, Justin Bernbach","Illinois, Oregon, New York"
3651,2000-06-19,Final Jeopardy!,HISTORIC PEOPLE,None,"Venetians called him ""Il Milione"", man of the million lies",Marco Polo,"Gavin Edwards, Bobby Reddy, Gregg Fanselau","New York, California, Colorado"
