show_number,air_date,round,category,contestant_one_name,contestant_two_name,contestant_three_name,contestant_one_location,contestant_two_location,contestant_three_location
3155,1998-04-24,Final Jeopardy!,ACTRESSES & ROLE,Stephen Cutts,Trudy Ring,Mary Ryan,California,California,Washington
4317,2003-05-13,Final Jeopardy!,WORLD CITIES,Jill Bunzendahl Chimka,Mark Dawson,Alan Bailey,"Washington, D.C.",Georgia,California
3875,2001-06-08,Final Jeopardy!,HEALTH & MEDICINE,Mark Eckard,Scott Wetzel,Jason Block,Massachusetts,Oregon,New York
4652,2004-11-23,Final Jeopardy!,STATE FACTS,Ari Schoenholtz,Rachel McCool,Kermin Fleming,Maryland,Pennsylvania,Kentucky
4367,2003-09-09,Final Jeopardy!,TV & STAMPS,Matt McWha,Mary Laferriere,Sam Ott,Virginia,Rhode Island,California
1105,1989-05-26,Final Jeopardy!,FICTIONAL CHARACTERS,Thompson O'Sullivan,Doug Schwartz,Rich Lerner,California,California,Maryland
4235,2003-01-17,Final Jeopardy!,BROADWAY MUSICALS,Phil Chapman,Maggie Linzer,Sarah Mauldin,Virginia,New Jersey,Texas
3896,2001-07-09,Final Jeopardy!,BOOKS,Peyton Paxson,Emily Voytek,Pat Phillips,Massachusetts,New York,California
5747,2009-09-15,Final Jeopardy!,PRESIDENTIAL ANCESTORS,Dave Sutherland,Judy Nakamura,Enrique Machado,British Columbia,Washington,Florida
5449,2008-04-24,Final Jeopardy!,STATE CAPITALS,Lance Durbin,Cathy Rosenberg,Suzanne Cappozzo,Washington,New Jersey,Illinois
4983,2006-04-19,Final Jeopardy!,WORLD LEADERS,Rodney Waites,Kathleen Larkey,Bob Mesko,Alabama,Canada,Colorado
4716,2005-02-21,Final Jeopardy!,FOREIGN WORDS & PHRASES,Lance Johnson,Mark Eckard,Kermin Fleming,Illinois,Massachusetts,Kentucky
3653,2000-06-21,Final Jeopardy!,SCIENCE WORD ORIGINS,Michele Harvey,David Mersault,Glen Stevens,Virginia,North Dakota,Minnesota
3620,2000-05-05,Final Jeopardy!,CLASSIC SITCOMS,Ann Hannon,Kevin Larkin,Jeff Horn,New Jersey,Florida,New York
3735,2000-11-24,Final Jeopardy!,AFRICAN MYTHOLOGY,Matt Myers,Mike Goldstein,Michelle Bowen-Ziecheck,Maryland,California,Maryland
6165,2011-06-03,Final Jeopardy!,WORLD HISTORY,Nancy Hale,Patrick Stubbins,Jericho Saria,New York,Ohio,California
3851,2001-05-07,Final Jeopardy!,SHAKESPEAREAN CHARACTERS,Jonathan Reinstein,Misti Coronel,Graham Gilmer,New York,Pennsylvania,Virginia
4776,2005-05-16,Final Jeopardy!,BIBLICAL CITIES,Michael Daunt,Dan Melia,Jerome Vered,Canada,California,California
4164,2002-10-10,Final Jeopardy!,ADVERTISING,Doug Yasso,Tanya Tyler,Cindy Reilly,New York,Kentucky,Virginia
4093,2002-05-22,Final Jeopardy!,RENAISSANCE AUTHORS,Robert Vinson,Liz Zoller,Ben Tritle,North Carolina,Illinois,California
5093,2006-11-01,Final Jeopardy!,PHRASES IN AMERICAN HISTORY,Jim Spilman,Liz Channon,Chris Mazurek,Massachusetts,Virginia,Missouri
6052,2010-12-28,Final Jeopardy!,CABINET OFFICERS,Anthony Curtis,Alice Jackson,Marissa Goldsmith,Montana,Alabama,Virginia
5877,2010-03-16,Final Jeopardy!,FAMOUS AMERICANS,Amanda Baber,Jayson Johnson,Rachel Pildis,Oklahoma,North Carolina,Illinois
5130,2006-12-22,Final Jeopardy!,AMERICAN WOMEN,Jeannette Harrison,Sarah Callanan,Steve Unite,Ohio,Vermont,California
1152,1989-09-12,Final Jeopardy!,LITERATURE,Pat Gmeiner,David Burnett,Bob Blake,Ohio,New York,British Columbia
3282,1998-12-08,Final Jeopardy!,ORGANIZATIONS,John Zorn,Megan Wood,Giselle Foss,California,Texas,"Washington, D.C."
4831,2005-09-19,Final Jeopardy!,RANKS & TITLES,Victoria Groce,Steve Kaltenbaugh,David Madden,Georgia,Maryland,New Jersey
3374,1999-04-15,Final Jeopardy!,MUSIC,Ed Clarke,Beth Looney,Helen Petroff,Massachusetts,North Carolina,California
3523,1999-12-22,Final Jeopardy!,FOOD & SPORTS,Mitch Teich,Sarah Bagby,Yancy Naughton,Arizona,New Mexico,Pennsylvania
3964,2001-11-22,Final Jeopardy!,FADS,James Kossuth,Linda Lin,Trevor Norris,Massachusetts,New Hampshire,"Washington, D.C."
5572,2008-11-25,Final Jeopardy!,IN THE NEWS 1952,Guil Prickette,Jillian Rebmann,Nathaniel Barnes,Alaska,Illinois,Canada
4823,2005-07-20,Final Jeopardy!,CLASSICAL MUSIC,Ellyn Ritterskamp,Oscar Avila,David Madden,North Carolina,Illinois,New Jersey
5740,2009-07-17,Final Jeopardy!,U.S. PRESIDENTS,Kevin Yokum,Thulasi Seshan,Cate Heine,Louisiana,Utah,Kentucky
5590,2008-12-19,Final Jeopardy!,THE WESTERN HEMISPHERE,Daniel Ogorzalek,Diane Hyra,Milt Hathaway,Illinois,Virginia,Rhode Island
3850,2001-05-04,Final Jeopardy!,THE '90s,Amanda Trujillo,Andy Siegler,Graham Gilmer,California,New Jersey,Virginia
5261,2007-06-25,Final Jeopardy!,RELIGION IN AMERICA,Katy Clarke,Tony Suffoletta,Matt Corcoran,Texas,Wisconsin,Pennsylvania
4718,2005-02-23,Final Jeopardy!,BESTSELLING AUTHORS,Jeff Richmond,Billy Baxter,Bernard Holloway,California,Virginia,North Carolina
6284,2012-01-05,Final Jeopardy!,CALIFORNIA HISTORY,Amy Ludwig,Mark Rupp,Dave Leach,California,Indiana,Georgia
6281,2012-01-02,Final Jeopardy!,'70s OSCARS,Elizabeth Weichel,Art Hilliker,Dave Leach,North Carolina,Pennsylvania,Georgia
5571,2008-11-24,Final Jeopardy!,SHAKESPEARE'S WOMEN,Jean MacKay Jackson,Nathaniel Barnes,Brian Muth,Oklahoma,Canada,California
3538,2000-01-12,Final Jeopardy!,NEOLOGISMS,Frank Butterworth,Kevin O'Neill,Terence Caulfield,Massachusetts,Ohio,Maryland
505,1986-11-14,Final Jeopardy!,U.S. GOVERNMENT,Gary Palmer,Guy Tonti,Chuck Forrest,California,California,Michigan
4166,2002-10-14,Final Jeopardy!,COMPOSERS,Matt Snow,Henry Quillen,Tanya Tyler,California,Georgia,Kentucky
4208,2002-12-11,Final Jeopardy!,NATIONAL FLAGS,Willie Holmes,Dianne Scorese,Lee Weber,Illinois,New Jersey,Georgia
3421,1999-06-21,Final Jeopardy!,AFRICA,Terry Currin,Sarah Simson,Joe Padavic,Michigan,New York,Illinois
5933,2010-06-02,Final Jeopardy!,HISTORICAL PHRASES,Jeff Johnson,Gerry Cuddyer,Cathy Melocik,Kentucky,Massachusetts,Vermont
4928,2006-02-01,Final Jeopardy!,WAR & PEACE,Joanna Stromberg,Dave Halliday,Eleanor Ainslie,Maryland,Virginia,Pennsylvania
3887,2001-06-26,Final Jeopardy!,PEOPLE IN SONG,Scott Candage,David Lichtman,Lan Djang,Massachusetts,New York,Ontario
4505,2004-03-19,Final Jeopardy!,PRESIDENTIAL NOMINEES,Mary Gabe,Sonja Srinivasan,Steve Reynolds,California,California,Oklahoma
3655,2000-06-23,Final Jeopardy!,CHILDREN'S LITERATURE,Sandi Rosenfeld,Rick Robertson,Michele Harvey,New York,Texas,Virginia
1331,1990-05-21,Final Jeopardy!,SCIENTISTS,Joe Esparza,Deborah Peters,Michelle Collier,Texas,Pennsylvania,New York
5836,2010-01-18,Final Jeopardy!,EARLY MAN,Fideleon Damian,Kathy Braue,Jason Zollinger,California,Connecticut,New York
3452,1999-09-14,Final Jeopardy!,U.S. CITIES,Larry Reynolds,Kathy Vanderford,Greg Lambert,Kansas,South Carolina,New York
4970,2006-03-31,Final Jeopardy!,FAMOUS PHOTOGRAPHS,Craig Mobley,Chrissy Hoffman,Doc Hamilton,New Mexico,Florida,Tennessee
5994,2010-10-07,Final Jeopardy!,MAMMALS,Sarah Rabin Spira,Mike Hodel,Don Meals,"Washington, D.C.",Washington,Vermont
4701,2005-01-31,Final Jeopardy!,ASTRONAUTS,Orlando Zambrano,Chloé White,Peter Severson,Florida,Kansas,South Dakota
4715,2005-02-18,Final Jeopardy!,WORDPLAY,Dan Melia,Jeremy Bate,Brian Wangsgard,California,California,Utah
3597,2000-04-04,Final Jeopardy!,FAMOUS MIDDLE NAMES,Saran Fox,David Andignac,Alissa Morel,California,Georgia,New York
4186,2002-11-11,Final Jeopardy!,THEORIES OF SCIENCE,Katie Orphan,Adam Kay,Jara Dorsey,Nevada,Utah,Ohio
4961,2006-03-20,Final Jeopardy!,THE TECHNOLOGY SECTOR,Kate Miller,Eric Heaton,James Washick,California,Minnesota,South Carolina
4474,2004-02-05,Final Jeopardy!,RIPPED FROM THE HEADLINES,John Maloy,Cynthia Dvorak,David Johnston,New York,Illinois,Louisiana
3068,1997-12-24,Final Jeopardy!,IN THE NEWS 1882,Cathy Friedman,Joyce Gray,Larry Thompson,Washington,Alaska,Georgia
5662,2009-03-31,Final Jeopardy!,STORY INSPIRATIONS,Adam Pan,Heather Menzel,Anne Reilly,Texas,North Carolina,Massachusetts
3638,2000-05-31,Final Jeopardy!,CLOTHING,Kate Walton,Jamie Meyers,Joseph Crippen,New Hampshire,Ohio,Minnesota
6153,2011-05-18,Final Jeopardy!,CONSTITUTIONAL AMENDMENTS,Flora Peir,Gary Rosche,Lisa Bloomberg,New York,North Carolina,Minnesota
4393,2003-10-15,Final Jeopardy!,OPERA SETTINGS,Chris Fite,Dana Maher,Sean Ryan,California,Oklahoma,Pennsylvania
2813,1996-11-20,Final Jeopardy!,THE MIDWEST,Amanda Goad,Bill Sloan,Mike Dupée,Virginia,California,Florida
484,1986-10-16,Final Jeopardy!,ACTORS AND ROLES,Brian Barrett,Elizabeth Charland,Dave Traini,California,Indiana,New Jersey
5655,2009-03-20,Final Jeopardy!,CIVIL WAR SITES,Ben Bishop,Aaron Schroeder,Mark Wales,Washington,California,New York
5553,2008-10-29,Final Jeopardy!,2008,Tristan Snell,Pat Thornton,Carl Brandt,Massachusetts,West Virginia,Pennsylvania
5700,2009-05-22,Final Jeopardy!,20th CENTURY POLITICS,Lindsay Barnes,Deborah Charles,Justin Bernbach,Virginia,New Jersey,New York
4221,2002-12-30,Final Jeopardy!,BUSINESS GIANTS,Scott Quick,Margaret Eves,Steve Frost,Indiana,Georgia,California
3908,2001-09-05,Final Jeopardy!,19th CENTURY AUTHORS,Ramsey Campbell,Kim Taylor,Bernard Pena,California,New York,Louisiana
1339,1990-05-31,Final Jeopardy!,GEOGRAPHY,Mark Saltzman,Tom Stimson,Mike Clark,New York,California,California
4241,2003-01-27,Final Jeopardy!,THE TOWER OF LONDON,Laura Ellis,Andrew Rogers,Gabrielle DeBarros,Ohio,Texas,California
3570,2000-02-25,Final Jeopardy!,THEATRE,Blair Fisher,Pam Simmons,Tim Hughes,Georgia,Georgia,Maryland
3226,1998-09-21,Final Jeopardy!,HOTELS,John Brett,Emily Krucoff,Lance Johnson,Ohio,Maryland,Illinois
5519,2008-09-11,Final Jeopardy!,LINES FROM 19th CENTURY NOVELS,Daniel Scott,Daphne Matalene,Laura Novak,Rhode Island,New York,Ohio
3204,1998-07-02,Final Jeopardy!,AMERICAN ARTISTS,Lauren Slauson,Scot Peterson,John Skelton,Washington,Washington,Washington
1239,1990-01-11,Final Jeopardy!,ORGANIZATIONS,Bill McCulla,Dan Milliman,Frank Spangenberg,Maryland,New York,New York
5469,2008-05-22,Final Jeopardy!,EARLY 20th CENTURY PLAYS,Judith Koveleskie,Deborah Gronich Tate,Larissa Kelly,Pennsylvania,Texas,California
3611,2000-04-24,Final Jeopardy!,PLAYS & PLAYWRIGHTS,Greg Dwyer,Ann Kupitz,Kate Lowe,Texas,Illinois,Minnesota
3852,2001-05-08,Final Jeopardy!,STATE CAPITALS,Colleen Mahoney,Alexis Stephens,Logan Bell,Connecticut,Pennsylvania,Illinois
3325,1999-02-05,Final Jeopardy!,AMERICAN LITERATURE,David James Elliott,Stephen Collins,Thomas Gibson,Washington,California,San Francisco
1654,1991-11-07,Final Jeopardy!,THE BIBLE,Scott Gillispie,Sara Cox,Tom Halpern,Georgia,Maine,New York
3941,2001-10-22,Final Jeopardy!,INTERNATIONAL COASTLINES,Rick Knutsen,Mark Eckard,Babu Srinivasan,New York,Massachusetts,Texas
3542,2000-01-18,Final Jeopardy!,IN THE NEWS,Jeff Melcher,Debbie Mamber,Kara McDermott,Texas,New York,Massachusetts
3605,2000-04-14,Final Jeopardy!,POTENT POTABLES,Katy Beebe,Jason Karpf,Zach Martin,Missouri,California,Washington
1300,1990-04-06,Final Jeopardy!,MONEY,Ed Borasky,Anne King,Joel Goldberg,Oregon,Maryland,New Jersey
6200,2011-07-22,Final Jeopardy!,FAMOUS AMERICANS,Tim Wagner,Linda Percy,Brian McEntee,Wisconsin,Pennsylvania,Virginia
3344,1999-03-04,Final Jeopardy!,TELEVISION ACTORS,Melissa Sexstone,Trish Ranney,Elizabeth Nyman,New York,California,Florida
1102,1989-05-23,Final Jeopardy!,LITERATURE,Janet Williams,Rich Lerner,Lisa Miller,Michigan,Maryland,Texas
5659,2009-03-26,Final Jeopardy!,16th CENTURY THINKERS,Mark Lock,Sonia Chawla,Fred Beukema,Michigan,Massachusetts,Minnesota
3567,2000-02-22,Final Jeopardy!,U.S. SENATORS,John Boyle,Laura Schaefer,Jeremy Bate,New Jersey,Georgia,California
6073,2011-01-26,Final Jeopardy!,AFRICA,Ryan Nelson,Tom Jennings,Gitta Neufeld,Florida,Pennsylvania,New York
3637,2000-05-30,Final Jeopardy!,ACTORS,Joseph Crippen,Susan Wozny,Ginny Reynolds,Minnesota,New Jersey,New York
3326,1999-02-08,Final Jeopardy!,HISTORIC NAMES,Melizza Zygmunt,Dan Girard,James Arey,Indiana,California,Louisiana
5739,2009-07-16,Final Jeopardy!,WOMEN AUTHORS,Parker Norton,Tayonna Jones,Jacob Hambalek,Tennessee,Indiana,California
3028,1997-10-29,Final Jeopardy!,SAME LAST NAMES,Liza Marshall,Joe Spencer,Shelley Smith,Virginia,Illinois,New York
1257,1990-02-06,Final Jeopardy!,LANDMARKS,Wen Shen,Beth Mullins,Mike Grant,California,Mississippi,Missouri
4475,2004-02-06,Final Jeopardy!,19th CENTURY PHILOSOPHY,Lorraine Stalberg,Arthur Gandolfi,John Maloy,California,New York,New York
5982,2010-09-21,Final Jeopardy!,SPORTS & THE MEDIA,Jelisa Castrodale,Matt Martin,Roger Craig,North Carolina,Virginia,Delaware
3652,2000-06-20,Final Jeopardy!,U.S. PAPER CURRENCY,Glen Stevens,Mimi Collins,Gregg Fanselau,Minnesota,Massachusetts,Colorado
5636,2009-02-23,Final Jeopardy!,WORLD RIVERS,Kenneth Burns,Jerome Socolof,Jeanie Welch,Wisconsin,New York,North Carolina
5404,2008-02-21,Final Jeopardy!,FAMOUS AMERICANS,Rachel Horn,"Rachel ""Steve"" Cooke",Zia Choudhury,Ohio,Indiana,Kentucky
5514,2008-07-24,Final Jeopardy!,FAMOUS NAMES,Kathy Krieger,James Therry,Mark Wales,Connecticut,"Washington, D.C.",New York
4855,2005-10-21,Final Jeopardy!,19th CENTURY LITERARY CHARACTERS,Amanda Traphagan,Paulette Beete,Steve O'Connor,Texas,Maryland,Illinois
3972,2001-12-04,Final Jeopardy!,CLIMATE TERMS,Sharon Wilson,James Martin,Kathy Cassity,New York,Texas,Hawaii
3879,2001-06-14,Final Jeopardy!,HISTORIC ENGLISHMEN,Tom Daily,Jeremy Simon,Mark Eckard,Connecticut,New York,Massachusetts
5711,2009-06-08,Final Jeopardy!,ACTING FAMILIES,Cindy Wassouf,Baltazar Pinedo,Andrew Schwartz,Connecticut,California,Florida
3047,1997-11-25,Final Jeopardy!,NOVELS,Dave Zehner,Jill Jones-Renger,Bob Harris,Illinois,Ohio,Ohio
4296,2003-04-14,Final Jeopardy!,MOUNTAINS,Phillip Steele,Maura O'Keefe,Brian Weikle,California,Massachusetts,Minnesota
2585,1995-11-24,Final Jeopardy!,U.S. PRESIDENTS,Isaac Segal,Ryan Holznagel,David Siegel,New Jersey,Oregon,California
2883,1997-02-26,Final Jeopardy!,HISTORIC AMERICANS,Amit Ray,Nancy Splane,Jim Fahner,Michigan,Florida,Michigan
5232,2007-05-15,Final Jeopardy!,TRAVEL EUROPE,Bill Wilson,Carol Gerber,Andrew Rostan,New York,New Jersey,Ohio
6296,2012-01-23,Final Jeopardy!,AMERICAN HISTORY,Molly Newman,Kirby Burnett,Bob Powell,Oregon,Minnesota,Florida
2898,1997-03-19,Final Jeopardy!,OSCAR WINNERS,Carole Smith,Martin Smith,Steve Douches,"Washington, D.C.",Yorkshire England,Virginia
5861,2010-02-22,Final Jeopardy!,KINGS & LITERATURE,Matt MacGregor,Ginny Bartlett,Elizabeth Galoozis,Colorado,Maine,Massachusetts
4190,2002-11-15,Final Jeopardy!,BIOGRAPHIES,Tony Sina,Jenny Hauser,Kyle Hale,New Jersey,Arizona,Texas
3906,2001-09-03,Final Jeopardy!,AUTOMOTIVE HISTORY,Hardy Watts,Anne Reynolds,Roland Lange,Massachusetts,Ontario,New York
4333,2003-06-04,Final Jeopardy!,MAP READING,Nancy McIsaac,Jim Stalley,Warren Usui,Colorado,Colorado,California
4226,2003-01-06,Final Jeopardy!,STATE CAPITALS,Max Wagner,Ina Jazic,Ben Gammage,New York,Illinois,California
5378,2008-01-16,Final Jeopardy!,FOREIGN FILMS,Susan Forman,Noah Kaye,Rebecca Knickmeyer,New York,"Washington, D.C.",North Carolina
3508,1999-12-01,Final Jeopardy!,WORLD CITIES,Gary Lucy,Karen Marlowe,Eric Wagner,Oregon,New Jersey,California
278,1985-10-02,Final Jeopardy!,THE CONTINENTS,Mike McClain,Ayofemi Stowe,Chuck Forrest,Ohio,Massachusetts,Michigan
4528,2004-04-21,Final Jeopardy!,19th CENTURY ART & HISTORY,Wendy Ruopp,Tom Baker,David Abolafia,Vermont,Japan,New York
5186,2007-03-12,Final Jeopardy!,WORD ORIGINS,Jennifer Gotcher,Will Porter,Ted Kenniston,California,New Jersey,Ohio
5398,2008-02-13,Final Jeopardy!,THE ANIMAL WORLD,Katie Gill,Will Casper,Maria Bennici,Mississippi,Washington,Maryland
4977,2006-04-11,Final Jeopardy!,THE EARLY 1900s,Dan Lee,Kathy Lisiewicz,William Lee,Nevada,California,California
3744,2000-12-07,Final Jeopardy!,POLITICIANS,Steve Edwards,Christine Detz,Kurt Fried,California,Massachusetts,Kansas
4276,2003-03-17,Final Jeopardy!,SCIENCE,Rob Eingurt,Courtney Hanlon,Amanda Potocky,"Washington, D.C.",California,North Carolina
3174,1998-05-21,Final Jeopardy!,AROUND THE WORLD,Bob Cameron,Kathy Lester,Louis Cohen,Ohio,Virginia,Connecticut
5053,2006-07-26,Final Jeopardy!,AFRICAN CAPITALS,Theresa Kenny,Matthew Mitchell,Celeste DiNucci,New York,Washington,Pennsylvania
5866,2010-03-01,Final Jeopardy!,NOTORIOUS,Amy Tyszkiewicz,Anne Damon,Ben Auer,New Jersey,Massachusetts,Georgia
4341,2003-06-16,Final Jeopardy!,BUSINESS BIGGIES,Becky Hudson,Tom Lucero,John Beck,South Dakota,California,California
3474,1999-10-14,Final Jeopardy!,MAGAZINES,David Waters,Jennifer O'Brien,Robin Jacobsen,Oregon,Illinois,New York
2844,1997-01-02,Final Jeopardy!,WORD ORIGINS,Kurt Bodden,Nancy Senter,Claudia Perry,California,California,California
6289,2012-01-12,Final Jeopardy!,WOMEN AUTHORS,Stephanie Walker,Brandon Libby,Dan McShane,Ohio,New Jersey,New York
5118,2006-12-06,Final Jeopardy!,FAMOUS NEW YORKERS,Sean Gilsdorf,Christian Haines,Linda Flink,Massachusetts,Virginia,Arizona
3187,1998-06-09,Final Jeopardy!,BASKETBALL,Philip Sasse,Susan Thaler,Joe Mecca,Georgia,New York,New York
5473,2008-05-28,Final Jeopardy!,20th CENTURY LEADERS,Nan Reiner,Pat Roche,Larissa Kelly,Virginia,New York,California
4247,2003-02-04,Final Jeopardy!,INTERNATIONAL GEOGRAPHIC,John Zhang,Brittany McCants,Susan Bellenot,Kentucky,South Carolina,California
5112,2006-11-28,Final Jeopardy!,ASIA,Ehren Schwiebert,Suzanne Ennis,Ryan Friedman,Arizona,Maine,New Hampshire
3244,1998-10-15,Final Jeopardy!,BRITISH AUTHORS,Elizabeth Bellas,Walter Hanig,Diane Green,Washington,California,Washington
5672,2009-04-14,Final Jeopardy!,COLLEGES & UNIVERSITIES,Regan Hofmann,Marc Sacks,Michael O'Malley,New York,"Washington, D.C.",Illinois
3097,1998-02-03,Final Jeopardy!,ASIAN NATIONS,Josh Den Hartog,Claudia Perry,Paul Gutowski,Iowa,New Jersey,Illinois
2997,1997-09-16,Final Jeopardy!,NEW ENGLAND COLONISTS,John Carroll,Lisa Doak,Pam Mifflin,Tennessee,Illinois,Wisconsin
5313,2007-10-17,Final Jeopardy!,THE EARTH,Shad Small,Linda Zell Randall,Chris Jason,California,Florida,Florida
3192,1998-06-16,Final Jeopardy!,LATIN PHRASES,Dave Abbott,Chris Carson,Natalie Segal,Ohio,Washington,Connecticut
4868,2005-11-09,Final Jeopardy!,STATE CAPITALS,Amanda Walker,Ben Goldman,Peter Ellis,Washington,Pennsylvania,North Carolina
3977,2001-12-11,Final Jeopardy!,ENTERTAINERS,Mike Rohan,M J Selle,Bill O'Donnell,Illinois,Texas,Missouri
4350,2003-06-27,Final Jeopardy!,SONG TITLES,Rollin Jewett,Bob Demaree,Seth Alcorn,Florida,Wisconsin,California
4841,2005-10-03,Final Jeopardy!,PRESIDENTIAL RELATIVES,Jason Richards,Zeb Schobernd,Elizabeth Randisi,Maine,Oregon,New York
5566,2008-11-17,Final Jeopardy!,19th CENTURY POLITICS,Audrey Hosford,Ben Chuchla,Brandon Saunders,Maryland,California,New York
4694,2005-01-20,Final Jeopardy!,BESTSELLING NOVELS,Jen Noon,Jonathan Smillie,Steve Kaplan,Massachusetts,Indiana,California
3182,1998-06-02,Final Jeopardy!,COMPOSERS,Pat Watson,Jack Rowley,Adele Odegard,Missouri,Georgia,Virginia
1884,1992-11-12,Final Jeopardy!,POLAND,Robert Slaven,Richard Kaplan,John Kelly,Canada,California,Texas
3472,1999-10-12,Final Jeopardy!,MODERN SCIENCE,Mike Garrido,Robin Jacobsen,Becky Bowles,Massachusetts,New York,Kentucky
5520,2008-09-12,Final Jeopardy!,ROYALTY,Cindy Schilling,Tom Witek,Daphne Matalene,Maine,Illinois,New York
5040,2006-07-07,Final Jeopardy!,STATE FLAGS,Erin Weiss,Brett McGlasson,Rich Small,California,Nevada,Washington
5741,2009-07-20,Final Jeopardy!,POETS ON POETS,Ellyn Feerick,Stefan Goodreau,Peter Wiscombe,Idaho,California,North Carolina
5731,2009-07-06,Final Jeopardy!,NAPOLEON,Joe Webb,Jessica Harry,Chris Hernandez,Missouri,Wisconsin,New Jersey
1905,1992-12-11,Final Jeopardy!,TRANSPORTATION,George Holloway,Sheryl Stein,Linda Kissling,Pennsylvania,Virginia,New Jersey
3627,2000-05-16,Final Jeopardy!,WORLD LEADERS,Eddie Timanus,Jeremy Bate,Chacko George,Virginia,California,Louisiana
4916,2006-01-16,Final Jeopardy!,ANCIENT OBJECTS,Chris Casper,Merle Capello,Kevin Marshall,Florida,New York,Louisiana
5588,2008-12-17,Final Jeopardy!,NOVEL INSPIRATIONS,Nicole Welch,Stevie Benson,George Yates,"Washington, D.C.",California,California
2847,1997-01-07,Final Jeopardy!,WORLD LEADERS,David Charlton,Jr.,"Steve Dhuey, Claudia Perry",Florida,Wisconsin,California
3801,2001-02-26,Final Jeopardy!,HISTORIC NAMES,Jeff Bowersox,Christy Woodman,Sid Moore Jr.,Kentucky,Massachusetts,Oregon
6024,2010-11-18,Final Jeopardy!,EUROPEAN COUNTRIES,Sam Spaulding,Hans von Walter,Erin McLean,North Carolina,Florida,Massachusetts
4459,2004-01-15,Final Jeopardy!,POLITICAL CAMPAIGNS,Frank Amanat,Liz Slaby,Steve Hall,New Jersey,Pennsylvania,Connecticut
4915,2006-01-13,Final Jeopardy!,LITERARY HISTORY,Michelle Hickman,David Grant,Kevin Marshall,Washington,New York,Louisiana
5603,2009-01-07,Final Jeopardy!,INDEPENDENCE DAYS,Rick Meneskie,Ranjan Ramchandani,Victoria Harkavy,Pennsylvania,Texas,Maryland
2845,1997-01-03,Final Jeopardy!,THE WESTERN U.S.,Aimee Serafini,Damon Raskin,Claudia Perry,Ohio,California,California
3646,2000-06-12,Final Jeopardy!,MAGAZINES,Ted Miller,Camille Brovold,Jason Parker,Ohio,Minnesota,Florida
5745,2009-07-24,Final Jeopardy!,25 YEARS & COUNTING,Emily Bruemmer,John Munson,Stefan Goodreau,Massachusetts,Florida,California
5445,2008-04-18,Final Jeopardy!,THE OSCARS,Carrie Wright,Gabriel Schechter,Chris Zane,South Carolina,New York,Maryland
5805,2009-12-04,Final Jeopardy!,THE 13th CENTURY,Sheryl Silverstein,Chris D'Orso,Dave Belote,California,New York,Las Vegas
5259,2007-06-21,Final Jeopardy!,STATE POPULATIONS,Mary Ann Hilterhaus,Don Stewart,Jesse Berry,New Jersey,Massachusetts,Arkansas
5529,2008-09-25,Final Jeopardy!,ISLAND CHAINS,Pam Winters,Mark Raabe,Brian Levinson,Maryland,Minnesota,New York
3416,1999-06-14,Final Jeopardy!,COMPOSERS,Sarah Gold,Chuck Lee,Ryan Thiel,New York,Colorado,Minnesota
3346,1999-03-08,Final Jeopardy!,SHOW BIZ,Dave Hampton,Laura Bowen,Nathan Childs,Massachusetts,North Carolina,"Washington, D.C."
3280,1998-12-04,Final Jeopardy!,AWARDS,Brendan McTaggart,Diane Wakefield,Andrew Maly,California,Pennsylvania,Maryland
3119,1998-03-05,Final Jeopardy!,AUTOBIOGRAPHIES,Andria Frost,Robert Campbell,Ben Wiener,Colorado,California,Canada
4560,2004-06-04,Final Jeopardy!,RECORD HOLDERS,Dane Petersen,Neil Thom,Ken Jennings,Virginia,Georgia,Utah
5386,2008-01-28,Final Jeopardy!,TV CELEBRITIES,Steven Melendez,Melissa Prusi,Ethan Brosowsky,Massachusetts,Michigan,California
3281,1998-12-07,Final Jeopardy!,1998,Mike Adams,Chris Seybolt,Giselle Foss,Louisiana,South Carolina,"Washington, D.C."
3210,1998-07-10,Final Jeopardy!,1980s BESTSELLERS,Roxanne Crocco,Mark Fields,Lore Guilmartin,Ohio,New Jersey,Texas
4683,2005-01-05,Final Jeopardy!,1920s NOSTALGIA,Val Nieman,Harry Hall,Kerry Breitenbach,North Carolina,Ohio,Ohio
5570,2008-11-21,Final Jeopardy!,GREEK MYTHOLOGY,Audrey Hosford,Bradley Silverman,Anurag Kashyap,Maryland,Georgia,California
3190,1998-06-12,Final Jeopardy!,ORGANIZATIONS,Marion Arkin,Robert Levy,Steve Sosnick,New York,Virginia,New York
3910,2001-09-07,Final Jeopardy!,ZOOLOGY,Evelyn Pan Bavier,Derek Ziegler,Ramsey Campbell,Massachusetts,Pennsylvania,California
3951,2001-11-05,Final Jeopardy!,ROYALTY,Trevor Norris,Mary-Beth Prokop,Ulhas Rajurkar,"Washington, D.C.",Maryland,Virginia
4569,2004-06-17,Final Jeopardy!,COMMUNICATIONS,Deirdre Basile,Steve DiGiulio,Ken Jennings,Connecticut,New Jersey,Utah
3880,2001-06-15,Final Jeopardy!,NAMES IN THE NEWS,Kara Miller,Sam Meyer,Liam Healy,Massachusetts,Georgia,Massachusetts
1309,1990-04-19,Final Jeopardy!,BUSINESS & INDUSTRY,Beverly Davenport,Pete Brown,Liz Barnea,Pennsylvania,Alabama,Montana
4734,2005-03-17,Final Jeopardy!,WORDS,Brian Moore,Dan Katz,John Zhang,Texas,Maryland,Kentucky
